model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot
lfm2_5_1_2b_instruct,qwen3_5_0_8b,layer_8,rsa_spearman,0.8352190539646783,0.8196744410907973,0.8493361632245338,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_0,cka,0.9947571395337582,0.9944724544882775,0.9950353771448135,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_0,knn_overlap,0.7914208018976209,0.778058014901765,0.8030801767676767,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_0,procrustes_residual,0.002325669129399537,0.002306064498577025,0.002348998032531842,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_0,rsa_spearman,0.9756203143172542,0.9741106587114431,0.977145464581805,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_12,cka,0.1548167046159506,0.14688486345112323,0.16463836655020714,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_12,knn_overlap,0.5672616538733025,0.5529833683974551,0.5817023067053059,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_12,procrustes_residual,0.02685081204201378,0.02669937392265669,0.027011778572201047,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_12,rsa_spearman,0.8652143066927898,0.8537109419514822,0.8742397915556406,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_16,cka,0.26531904689967634,0.25795635059475897,0.27269590124487875,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_16,knn_overlap,0.5000697613105991,0.4838370272532907,0.5159293383935895,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_16,procrustes_residual,0.02272496475351085,0.022536228100015224,0.022910965739023077,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_16,rsa_spearman,0.919285449166926,0.9126434260579674,0.9252651089719645,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_4,cka,0.06096635586582124,0.05043009053915739,0.07311308290809393,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_4,knn_overlap,0.5858204108463202,0.5713110404942352,0.6003884856454031,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_4,procrustes_residual,0.033927329607978354,0.033513957041196016,0.03429008861339459,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_4,rsa_spearman,0.6933590011594962,0.6742381971966949,0.710308708552625,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_8,cka,0.1003237798064947,0.08968104366213084,0.11187768206000327,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_8,knn_overlap,0.590366633267475,0.5758408508953208,0.6076602949746333,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_8,procrustes_residual,0.030754412350869932,0.030501899294899992,0.030982723206853663,400
qwen2_5_0_5b_instruct,qwen3_0_6b,layer_8,rsa_spearman,0.8369621228894277,0.8259353039967422,0.8470456243229103,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_0,cka,0.9947241349518299,0.9944938197731972,0.9949418038129807,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_0,knn_overlap,0.7498071711749151,0.7342858336516426,0.7651814172347261,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_0,procrustes_residual,0.0026255207582495123,0.0025862564517854397,0.0026656795264888723,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_0,rsa_spearman,0.9790633639975143,0.9776329328356319,0.9805380049390626,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_12,cka,0.5807290896773338,0.5539342284202575,0.6112376138567924,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_12,knn_overlap,0.5332757434378129,0.5170278666032826,0.5480358421266414,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_12,procrustes_residual,0.01680142170244364,0.01641471843786658,0.017165377299667637,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_12,rsa_spearman,0.8647691077602048,0.8474400536105945,0.8808814300870604,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_16,cka,0.7108190777897835,0.6904748603701591,0.7339307174086571,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_16,knn_overlap,0.5042310174497916,0.4887978675163273,0.5209829444756882,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_16,procrustes_residual,0.01334701412243732,0.013036937495951773,0.013641407607773763,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_16,rsa_spearman,0.8567688446959427,0.840383716820533,0.8724410544337416,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_4,cka,0.4025022801756859,0.3742002286016941,0.4348788432776928,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_4,knn_overlap,0.5548230113877995,0.5402230037620904,0.5705925049287084,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_4,procrustes_residual,0.022477575382924605,0.022125667253410822,0.022805695650658146,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_4,rsa_spearman,0.7664887051789635,0.7509581620800696,0.7804651221669424,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_8,cka,0.5448829291760922,0.519463561475277,0.5756763935089111,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_8,knn_overlap,0.5524926083340751,0.5381865845784188,0.5687388414281797,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_8,procrustes_residual,0.017803112258535255,0.017399963993067837,0.018178726248529252,400
qwen2_5_0_5b_instruct,qwen3_5_0_8b,layer_8,rsa_spearman,0.8389951072082001,0.8285972285402005,0.849100376896757,400
qwen3_0_6b,qwen3_5_0_8b,layer_0,cka,0.993659027069807,0.9934080764651299,0.9939379870891571,400
qwen3_0_6b,qwen3_5_0_8b,layer_0,knn_overlap,0.7428478044283289,0.7294150698158052,0.7558343791625043,400
qwen3_0_6b,qwen3_5_0_8b,layer_0,procrustes_residual,0.002601867634245081,0.0025615636635253763,0.0026386084510357723,400
qwen3_0_6b,qwen3_5_0_8b,layer_0,rsa_spearman,0.9758919945591995,0.9742887940902114,0.9773436485013735,400
qwen3_0_6b,qwen3_5_0_8b,layer_12,cka,0.3427996850758791,0.32240170836448667,0.3635818183422089,400
qwen3_0_6b,qwen3_5_0_8b,layer_12,knn_overlap,0.5442565656057335,0.5298528800455077,0.5592506646403705,400
qwen3_0_6b,qwen3_5_0_8b,layer_12,procrustes_residual,0.02291870373580012,0.022675625922420478,0.023162582273829255,400
qwen3_0_6b,qwen3_5_0_8b,layer_12,rsa_spearman,0.878060187014513,0.8689416514247785,0.8865510656322937,400
qwen3_0_6b,qwen3_5_0_8b,layer_16,cka,0.42871666111052037,0.4160089485347271,0.4416170470416546,400
qwen3_0_6b,qwen3_5_0_8b,layer_16,knn_overlap,0.539256547522753,0.5243240671938427,0.5548466235382837,400
qwen3_0_6b,qwen3_5_0_8b,layer_16,procrustes_residual,0.019824631092144464,0.01956419785395659,0.020058116164344983,400
qwen3_0_6b,qwen3_5_0_8b,layer_16,rsa_spearman,0.9179787396610684,0.9093461978549869,0.9254026699916977,400
qwen3_0_6b,qwen3_5_0_8b,layer_4,cka,0.298916984423995,0.27089920192956923,0.3286604568362236,400
qwen3_0_6b,qwen3_5_0_8b,layer_4,knn_overlap,0.5909237642549658,0.5747278815185646,0.6062012675415829,400
qwen3_0_6b,qwen3_5_0_8b,layer_4,procrustes_residual,0.029782333271624405,0.02949019656633514,0.030073816031278993,400
qwen3_0_6b,qwen3_5_0_8b,layer_4,rsa_spearman,0.8143277852241545,0.8012421477479317,0.8272840828572058,400
qwen3_0_6b,qwen3_5_0_8b,layer_8,cka,0.2496605959907174,0.2276537735015154,0.27417257651686666,400
qwen3_0_6b,qwen3_5_0_8b,layer_8,knn_overlap,0.5445840732637318,0.5274771372579519,0.5608910485190477,400
qwen3_0_6b,qwen3_5_0_8b,layer_8,procrustes_residual,0.02775600195150104,0.027557593084863958,0.027958038860547988,400
qwen3_0_6b,qwen3_5_0_8b,layer_8,rsa_spearman,0.7963836728951873,0.7856585039352618,0.8073419070369374,400
