from_model,to_model,from_layer,to_layer,cka
gemma3_1b_pt,gemma3_4b_pt,layer_0,layer_8,0.5293977856636047
gemma3_1b_pt,gemma3_4b_pt,layer_0,layer_10,0.47995463013648987
gemma3_1b_pt,gemma3_4b_pt,layer_0,layer_12,0.39847636222839355
gemma3_1b_pt,gemma3_4b_pt,layer_2,layer_0,0.8877620100975037
gemma3_1b_pt,gemma3_4b_pt,layer_2,layer_2,0.8921287059783936
gemma3_1b_pt,gemma3_4b_pt,layer_2,layer_4,0.8279057741165161
gemma3_1b_pt,gemma3_4b_pt,layer_2,layer_6,0.5415905714035034
gemma3_1b_pt,gemma3_4b_pt,layer_2,layer_8,0.543566107749939
gemma3_1b_pt,gemma3_4b_pt,layer_2,layer_10,0.5300233960151672
gemma3_1b_pt,gemma3_4b_pt,layer_2,layer_12,0.4044852554798126
gemma3_1b_pt,gemma3_4b_pt,layer_4,layer_0,0.9278509020805359
gemma3_1b_pt,gemma3_4b_pt,layer_4,layer_2,0.9158176779747009
gemma3_1b_pt,gemma3_4b_pt,layer_4,layer_4,0.9034198522567749
gemma3_1b_pt,gemma3_4b_pt,layer_4,layer_6,0.6447045207023621
gemma3_1b_pt,gemma3_4b_pt,layer_4,layer_8,0.5654177665710449
gemma3_1b_pt,gemma3_4b_pt,layer_4,layer_10,0.5475388765335083
gemma3_1b_pt,gemma3_4b_pt,layer_4,layer_12,0.4485436677932739
gemma3_1b_pt,gemma3_4b_pt,layer_6,layer_0,0.8046720623970032
gemma3_1b_pt,gemma3_4b_pt,layer_6,layer_2,0.7688078880310059
gemma3_1b_pt,gemma3_4b_pt,layer_6,layer_4,0.7942259311676025
gemma3_1b_pt,gemma3_4b_pt,layer_6,layer_6,0.7036283612251282
gemma3_1b_pt,gemma3_4b_pt,layer_6,layer_8,0.6620370149612427
gemma3_1b_pt,gemma3_4b_pt,layer_6,layer_10,0.655611515045166
gemma3_1b_pt,gemma3_4b_pt,layer_6,layer_12,0.6301685571670532
gemma3_1b_pt,gemma3_4b_pt,layer_8,layer_0,0.5443142056465149
gemma3_1b_pt,gemma3_4b_pt,layer_8,layer_2,0.6372072100639343
gemma3_1b_pt,gemma3_4b_pt,layer_8,layer_4,0.6336008310317993
gemma3_1b_pt,gemma3_4b_pt,layer_8,layer_6,0.7440472841262817
gemma3_1b_pt,gemma3_4b_pt,layer_8,layer_8,0.8787642121315002
gemma3_1b_pt,gemma3_4b_pt,layer_8,layer_10,0.76718670129776
gemma3_1b_pt,gemma3_4b_pt,layer_8,layer_12,0.6042169332504272
gemma3_1b_pt,gemma3_4b_pt,layer_10,layer_0,0.6111956834793091
gemma3_1b_pt,gemma3_4b_pt,layer_10,layer_2,0.6836797595024109
gemma3_1b_pt,gemma3_4b_pt,layer_10,layer_4,0.6681187152862549
gemma3_1b_pt,gemma3_4b_pt,layer_10,layer_6,0.5294439196586609
gemma3_1b_pt,gemma3_4b_pt,layer_10,layer_8,0.7203547954559326
gemma3_1b_pt,gemma3_4b_pt,layer_10,layer_10,0.6158762574195862
gemma3_1b_pt,gemma3_4b_pt,layer_10,layer_12,0.5797157287597656
gemma3_1b_pt,gemma3_4b_pt,layer_12,layer_0,0.5964066386222839
gemma3_1b_pt,gemma3_4b_pt,layer_12,layer_2,0.5981990694999695
gemma3_1b_pt,gemma3_4b_pt,layer_12,layer_4,0.5947632789611816
gemma3_1b_pt,gemma3_4b_pt,layer_12,layer_6,0.5681277513504028
gemma3_1b_pt,gemma3_4b_pt,layer_12,layer_8,0.6125435829162598
gemma3_1b_pt,gemma3_4b_pt,layer_12,layer_10,0.680262565612793
gemma3_1b_pt,gemma3_4b_pt,layer_12,layer_12,0.7171788811683655
