model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot,boot_sample_size
codegemma_2b,lfm2_5_1_2b_instruct,layer_10,cka,0.8984291255474091,0.8891058564186096,0.9099202126264572,60,240
codegemma_2b,lfm2_5_1_2b_instruct,layer_10,rsa_spearman,0.8636855226078778,0.8231288207912308,0.8968098784881158,60,240
codegemma_2b,lfm2_5_1_2b_instruct,layer_12,cka,0.9023541112740835,0.8926397010684013,0.9156487599015236,60,240
codegemma_2b,lfm2_5_1_2b_instruct,layer_12,rsa_spearman,0.8496389016812741,0.8030273352453339,0.8846178312118426,60,240
codegemma_2b,lfm2_5_1_2b_instruct,layer_2,cka,0.9692858874797821,0.9639703616499901,0.973324628174305,60,240
codegemma_2b,lfm2_5_1_2b_instruct,layer_2,rsa_spearman,0.787343461145309,0.7633635773383423,0.8074460187552053,60,240
codegemma_2b,lfm2_5_1_2b_instruct,layer_4,cka,0.9741727491219838,0.9718415647745132,0.9769925609230995,60,240
codegemma_2b,lfm2_5_1_2b_instruct,layer_4,rsa_spearman,0.7767465679199752,0.7529812960484038,0.8040188297102104,60,240
codegemma_2b,lfm2_5_1_2b_instruct,layer_6,cka,0.9747120340665182,0.9714834421873093,0.9778030708432197,60,240
codegemma_2b,lfm2_5_1_2b_instruct,layer_6,rsa_spearman,0.8297514720051321,0.8072480053654308,0.8457047466021282,60,240
codegemma_2b,lfm2_5_1_2b_instruct,layer_8,cka,0.9355615337689718,0.9288752228021622,0.9419304355978966,60,240
codegemma_2b,lfm2_5_1_2b_instruct,layer_8,rsa_spearman,0.836691164428834,0.8187663805044427,0.8592699078757491,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_0,cka,0.7499603549639384,0.7046131283044815,0.7874074772000312,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_0,rsa_spearman,0.8013164348303714,0.774143315028789,0.8272067796003533,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_10,cka,0.8836565633614858,0.872459988296032,0.8987568244338036,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_10,rsa_spearman,0.8012119788530377,0.763715181957241,0.8398535821946297,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_12,cka,0.8855500390132268,0.874001006782055,0.9000147074460983,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_12,rsa_spearman,0.700884154697137,0.6501992944139079,0.7526498155995569,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_2,cka,0.9738218535979589,0.9698693126440048,0.9770769491791725,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_2,rsa_spearman,0.7232707326820762,0.6930760868416735,0.7544748125822468,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_4,cka,0.9706813126802445,0.9661912322044373,0.9749528035521507,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_4,rsa_spearman,0.7083142196246694,0.6748973221938119,0.7393209201461147,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_6,cka,0.9507339268922805,0.9442748039960861,0.9579677969217301,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_6,rsa_spearman,0.8792521361279505,0.8667841518068952,0.8920171754557492,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_8,cka,0.9202508081992468,0.9134381651878357,0.9286226734519005,60,240
codegemma_2b,lfm2_5_1_2b_thinking,layer_8,rsa_spearman,0.8670100361932555,0.843169877409944,0.8861447544114843,60,240
gemma1_1_2b_it,gemma2_2b,layer_0,cka,0.8092728734016419,0.7725566387176513,0.8398044094443321,60,240
gemma1_1_2b_it,gemma2_2b,layer_0,rsa_spearman,0.8289951492697202,0.8116319964049273,0.8433871584597412,60,240
gemma1_1_2b_it,gemma2_2b,layer_10,cka,0.9801727622747421,0.9773918494582177,0.9826449036598206,60,240
gemma1_1_2b_it,gemma2_2b,layer_10,rsa_spearman,0.910986733721228,0.8894278729567927,0.9261248467375109,60,240
gemma1_1_2b_it,gemma2_2b,layer_12,cka,0.9635407030582428,0.9555126383900643,0.9705139577388764,60,240
gemma1_1_2b_it,gemma2_2b,layer_12,rsa_spearman,0.877356922108248,0.8451844384751557,0.9012502207287779,60,240
gemma1_1_2b_it,gemma2_2b,layer_2,cka,0.949453815817833,0.942414490878582,0.9576419293880463,60,240
gemma1_1_2b_it,gemma2_2b,layer_2,rsa_spearman,0.6017142577516902,0.5586964673827264,0.637755550075573,60,240
gemma1_1_2b_it,gemma2_2b,layer_4,cka,0.933766699830691,0.9234439790248871,0.9441808313131332,60,240
gemma1_1_2b_it,gemma2_2b,layer_4,rsa_spearman,0.5078351422774555,0.46435349508034784,0.5569421510214851,60,240
gemma1_1_2b_it,gemma2_2b,layer_6,cka,0.9589981466531754,0.952925056219101,0.964824552834034,60,240
gemma1_1_2b_it,gemma2_2b,layer_6,rsa_spearman,0.8127757407877515,0.7851832949116876,0.8423011437795365,60,240
gemma1_1_2b_it,gemma2_2b,layer_8,cka,0.9724120209614436,0.9696589931845665,0.9753002166748047,60,240
gemma1_1_2b_it,gemma2_2b,layer_8,rsa_spearman,0.8132944844697909,0.7823270225963904,0.8391643696688764,60,240
gemma1_1_2b_it,gemma2_2b_it,layer_0,cka,0.8095582733551662,0.7728547915816307,0.8400312453508377,60,240
gemma1_1_2b_it,gemma2_2b_it,layer_0,rsa_spearman,0.8291523821147351,0.8118908133161277,0.8435398375832451,60,240
gemma1_1_2b_it,gemma2_2b_it,layer_10,cka,0.9791532963514328,0.9761360585689545,0.9822638437151909,60,240
