model_a,model_b,rep_drift,pred_rep_drift,residual,contrib_gen_gap,contrib_size_gap,contrib_tune_diff,contrib_domain_var,contrib_weight_drift,contrib_family_same
gemma2_2b_it,lfm2_5_1_2b_base,0.045787479196276015,0.023290740328218998,0.022496738868057017,0.0045946452019254395,0.018100512954461044,0.03425843951204574,0.030974694779353735,-0.04878298212303275,0.0
gemma2_2b_it,lfm2_5_1_2b_instruct,0.05222478934696739,0.024174802572039182,0.02804998677492821,0.0045946452019254395,0.018100512954461044,0.03425843951204574,0.03187020628043823,-0.048794431380297064,0.0
gemma2_2b_it,lfm2_5_1_2b_thinking,0.09489277430943077,0.030712163589545857,0.06418061071988491,0.0045946452019254395,0.018100512954461044,0.03425843951204574,0.038452007785981755,-0.04883887186833391,0.0
gemma3_1b_it,gemma3_1b_pt,0.30323249953133724,0.34459249914082957,-0.041359999609492326,0.0,0.0,0.03425843951204574,0.32433773044055536,-0.00029083687721358,0.002141736061976183
gemma3_1b_it,gemma3_4b_it,0.25478945033890865,0.2785521487644561,-0.023762698425547457,0.0,0.04912173132027891,0.0,0.28983292064911664,-0.04668966927038141,0.002141736061976183
gemma3_1b_it,gemma3_4b_pt,0.3250727525779179,0.31600623433166664,0.009066518246251265,0.0,0.04912173132027891,0.03425843951204574,0.2930328139181228,-0.0466939164842228,0.002141736061976183
gemma3_1b_it,lfm2_5_1_2b_base,0.2352423242160252,0.22903888027575942,0.006203443940265785,0.0045946452019254395,0.0064603527056784115,0.03425843951204574,0.24683591179043038,-0.047255898937786346,0.0
gemma3_1b_it,lfm2_5_1_2b_instruct,0.23015999794006348,0.23067817024716603,-0.000518172307102549,0.0045946452019254395,0.0064603527056784115,0.03425843951204574,0.24848607874178263,-0.04726677591773202,0.0
gemma3_1b_it,lfm2_5_1_2b_thinking,0.2663521085466657,0.23345404838804074,0.03289806015862495,0.0045946452019254395,0.0064603527056784115,0.03425843951204574,0.25138278448830764,-0.04738760352338232,0.0
gemma3_1b_pt,gemma3_4b_it,0.3759082811219352,0.3433975706870036,0.03251071043493159,0.0,0.04912173132027891,0.03425843951204574,0.3202201537248459,-0.046489919935608935,0.002141736061976183
gemma3_1b_pt,gemma3_4b_pt,0.18448107583182194,0.24840893382054333,-0.06392785798872139,0.0,0.04912173132027891,0.0,0.2594919529187785,-0.04649191648395606,0.002141736061976183
gemma3_1b_pt,lfm2_5_1_2b_base,0.24546054005622864,0.19835766433905,0.04710287571717864,0.0045946452019254395,0.0064603527056784115,0.03425843951204574,0.21632117988056912,-0.0474223829646345,0.0
gemma3_1b_pt,lfm2_5_1_2b_instruct,0.26493958064488,0.20249528080523768,0.06244429983964231,0.0045946452019254395,0.0064603527056784115,0.03425843951204574,0.22046941647373808,-0.0474330030916158,0.0
gemma3_1b_pt,lfm2_5_1_2b_thinking,0.21051893915448872,0.20474935652057996,0.005769582633908754,0.0045946452019254395,0.0064603527056784115,0.03425843951204574,0.2228255926476109,-0.04753510355014632,0.0
gemma3_4b_it,gemma3_4b_pt,0.2639446258544922,0.2143667452909115,0.0495778805635807,0.0,0.0,0.03425843951204574,0.1938216265536625,-4.86840238738981e-07,0.002141736061976183
gemma3_4b_it,lfm2_5_1_2b_base,0.3059021660259792,0.32429657619770413,-0.01839441017172494,0.0045946452019254395,0.0426613786146005,0.03425843951204574,0.29615720700232984,-0.03752052413666322,0.0
gemma3_4b_it,lfm2_5_1_2b_instruct,0.2843822155679975,0.3234729000298697,-0.03909068446187225,0.0045946452019254395,0.0426613786146005,0.03425843951204574,0.29532594644766685,-0.03751293974983459,0.0
gemma3_4b_it,lfm2_5_1_2b_thinking,0.3530074741159167,0.3247526939280041,0.02825478018791261,0.0045946452019254395,0.0426613786146005,0.03425843951204574,0.2965658637029174,-0.03747306310695067,0.0
gemma3_4b_pt,lfm2_5_1_2b_base,0.30806173597063335,0.2931006965859553,0.014961039384678076,0.0045946452019254395,0.0426613786146005,0.03425843951204574,0.2649719282808268,-0.03753112502690901,0.0
gemma3_4b_pt,lfm2_5_1_2b_instruct,0.3031981544835227,0.2944551174222215,0.008743037061301195,0.0045946452019254395,0.0426613786146005,0.03425843951204574,0.2663187931301301,-0.0375235690399461,0.0
gemma3_4b_pt,lfm2_5_1_2b_thinking,0.2704702530588422,0.29428638057682754,-0.02381612751798534,0.0045946452019254395,0.0426613786146005,0.03425843951204574,0.2661101416994506,-0.03748365445466057,0.0
lfm2_5_1_2b_base,lfm2_5_1_2b_instruct,0.04383793047496254,0.03885889323475304,0.004979037240209497,0.0,0.0,0.03425843951204574,0.018313419038981173,-1.3138171585488402e-07,0.002141736061976183
lfm2_5_1_2b_base,lfm2_5_1_2b_thinking,0.0620560390608651,0.05420422581064496,0.007851813250220135,0.0,0.0,0.03425843951204574,0.033668903176224604,-1.0282943067358203e-05,0.002141736061976183
lfm2_5_1_2b_instruct,lfm2_5_1_2b_thinking,0.08174003873552593,0.05086805845661602,0.030871980278909916,0.0,0.0,0.03425843951204574,0.030331532998171352,-9.080119043067502e-06,0.002141736061976183
