model_a,model_b,layer,metric,boot_mean,ci_low,ci_high,n_boot,boot_sample_size
gemma1_1_2b_it,gemma3_1b_pt,layer_8,rsa_spearman,0.7655650117263206,0.7297183645616863,0.7928239645476728,40,180
gemma1_1_2b_it,gemma3_4b_it,layer_0,cka,0.8274376571178437,0.7933832347393036,0.8598859220743179,40,180
gemma1_1_2b_it,gemma3_4b_it,layer_0,rsa_spearman,0.8776991133799953,0.8550202796817047,0.9000548226522973,40,180
gemma1_1_2b_it,gemma3_4b_it,layer_12,cka,0.4756333097815514,0.4007862940430641,0.5275289475917816,40,180
gemma1_1_2b_it,gemma3_4b_it,layer_12,rsa_spearman,0.9190983240574091,0.9006008798238618,0.9322653458334156,40,180
gemma1_1_2b_it,gemma3_4b_it,layer_4,cka,0.9598316222429275,0.9554700508713723,0.9634163707494736,40,180
gemma1_1_2b_it,gemma3_4b_it,layer_4,rsa_spearman,0.7702894201107336,0.7425837699963113,0.8027730290854905,40,180
gemma1_1_2b_it,gemma3_4b_it,layer_8,cka,0.5952098101377488,0.5343235969543457,0.6295863524079323,40,180
gemma1_1_2b_it,gemma3_4b_it,layer_8,rsa_spearman,0.8706149544542943,0.8470255948974208,0.8965520649121013,40,180
gemma1_1_2b_it,gemma3_4b_pt,layer_0,cka,0.8282720118761062,0.7946129694581032,0.860728870332241,40,180
gemma1_1_2b_it,gemma3_4b_pt,layer_0,rsa_spearman,0.8786386690126615,0.8569542617945698,0.9000304409230325,40,180
gemma1_1_2b_it,gemma3_4b_pt,layer_12,cka,0.5059337764978409,0.4676195688545704,0.5363859459757805,40,180
gemma1_1_2b_it,gemma3_4b_pt,layer_12,rsa_spearman,0.9028306547940638,0.8826912523695526,0.9176587958061878,40,180
gemma1_1_2b_it,gemma3_4b_pt,layer_4,cka,0.9333448514342308,0.9217942923307418,0.9434636414051056,40,180
gemma1_1_2b_it,gemma3_4b_pt,layer_4,rsa_spearman,0.749090090598631,0.7128555614594273,0.7765417402562456,40,180
gemma1_1_2b_it,gemma3_4b_pt,layer_8,cka,0.6175596982240676,0.5744029611349106,0.6549187704920769,40,180
